recipe_name,time_preparation(min),calories(kcal),ingredients_list,gluten_free,egg_free,sucrose_fructose_free,low_sodium,lactose_free,recipe_url,recipe_image_url
Timbales de pasta y berenjena,55.0,,"['conchas de pasta', 'aceite de oliva', 'pimienta', 'berenjena', 'apio', 'cebolla', 'aceitunas verdes sin hueso', 'perejil', 'azúcar', 'almendras tostadas y picadas', 'sal', 'alcaparra', 'queso rallado', 'tomate frito']",0,0,0,0,0,https://www.lecturas.com/recetas/timbales-pasta-y-berenjena_1760.html,https://content-recetas.lecturas.com/medio/2018/07/19/timbales-de-pasta-y-berenjena_9037b446_800x800.jpg
Fideos con almejas y setas,45.0,,"['fideos gruesos', 'cebolla', 'almeja', 'seta', 'perejil', 'laurel', 'caldo de verduras', 'aceite de oliva', 'azafrán', 'sal', 'pimienta']",0,0,0,0,1,https://www.lecturas.com/recetas/fideos-almejas-y-setas_1933.html,https://content-recetas.lecturas.com/medio/2018/07/19/paso-a-paso-para-hader-fideos-con-almejas-y-setas-resultado-final_c618ff73_800x800.jpg
Fideuá con sepia y salsa alioli,50.0,520.0,"['fideos', 'sepia', 'azafrán', 'tomate triturado', 'aceite de oliva', 'pescado de roca', 'diente de ajo', 'pimentón', 'sal', 'aceite', 'huevo', 'diente de ajo', 'sal']",0,0,0,0,0,https://www.lecturas.com/recetas/fideua-sepia-y-salsa-alioli_2155.html,https://content-recetas.lecturas.com/medio/2018/07/20/fideua_con_sepia_y_salsa_alliolo_395af42d_800x800.jpg
Canelones de pollo con salsa de piquillos,45.0,,"['placas', 'pechugas de pollo en daditos', 'mantequilla', 'harina', 'leche', 'diente de ajo', 'calabazas', 'tomates', 'cebolla', 'pimientos del piquillo', 'vino blanco', 'queso rallado', 'aceite', 'sal']",0,0,0,0,0,https://www.lecturas.com/recetas/canelones-pollo-salsa-piquillos_2208.html,https://content-recetas.lecturas.com/medio/2019/06/06/paso-a-paso-para-hacer-canelones-de-pollo-con-salsa-de-piquillos-resultado-final_49fc15a3_800x800.jpg
Fideuá de conejo y setas,40.0,,"['conejo troceado', 'seta de temporada', 'fideos gruesos', 'cebolla', 'tomate maduros', 'caldo de verduras', 'perejil', 'aceite de oliva', 'pimienta negra', 'sal']",0,0,0,0,0,https://www.lecturas.com/recetas/fideua-conejo-y-setas_2235.html,https://content-recetas.lecturas.com/medio/2018/07/19/fideua-de-conejo-y-setas_be6c1def_800x800.jpg
Fideuá con sepia,30.0,320.0,"['fideos', 'sepia', 'tomate frito', 'caldo de pescado', 'pimiento rojo', 'diente de ajo', 'aceite de oliva']",0,0,0,0,0,https://www.lecturas.com/recetas/fideua-sepia_2534.html,https://content-recetas.lecturas.com/medio/2018/07/19/fideua-con-sepia_ece70317_800x800.jpg
Espaguetis con salsa de berenjenas y tomates,60.0,635.0,"['espaguetis', 'berenjena', 'tomate', 'pimiento rojo', 'queso fresco', 'perejil', 'cilantro', 'sal', 'aceite de oliva']",0,0,0,0,0,https://www.lecturas.com/recetas/espaguetis-salsa-berenjenas-y-tomates_2538.html,https://content-recetas.lecturas.com/medio/2018/07/19/espaguetis-con-salsa-de-berenjenas-y-tomates_7bd327ec_800x800.jpg
Canelones de champiñones con besamel ligera,40.0,275.0,"['placas', 'champiñón', 'cebolla', 'aceite de oliva', 'diente de ajo', 'tomate', 'perejil', 'sal', 'queso fresco', 'queso rallado', 'leche desnatada', 'harina de maíz maicena', 'nuez moscada', 'sal', 'pimienta']",0,0,0,0,0,https://www.lecturas.com/recetas/canelones-champinones-besamel-ligera_2633.html,https://content-recetas.lecturas.com/medio/2018/07/19/canelones-de-champinones-con-besamel-ligera_a0d68830_800x800.jpg
Cazuela de fideos con atún y almejas,35.0,235.0,"['fideos gruesos', 'atún', 'cebolla', 'almejas', 'judías verdes redonda', 'pimientos rojos', 'dientes de ajo', 'limones', 'caldo de pescado', 'salsa de tomate', 'azafrán', 'pimentón', 'aceite de oliva', 'perejil', 'sal']",0,0,0,0,1,https://www.lecturas.com/recetas/cazuela-fideos-atun-y-almejas_2961.html,https://content-recetas.lecturas.com/medio/2018/07/19/cazuela-de-fideos-con-atun-y-almejas_4ab0a139_800x800.jpg
Ensalada de pasta con pollo,35.0,225.0,"['pasta pasta corta: lacitos tulipanes fusilli', 'pechugas de pollo filetes', 'orégano seco', 'queso gruyer', 'tomates cereza', 'calabacín', 'vinagre de manzana', 'sal', 'pimienta', 'aceite de oliva virgen']",0,0,0,0,1,https://www.lecturas.com/recetas/ensalada-pasta-pollo_2963.html,https://content-recetas.lecturas.com/medio/2018/07/19/paso-a-paso-para-hacer-ensalada-de-pasta-con-pollo-resultado-final_896ecd1c_800x800.jpg
